Produit;Marque;Pays;Energie (kcal/100g);Graisse (g/100g);Sucres (g/100g);Protéines (g/100g);Score nutritionnel;;;;;
Lait;Jaouda;Morocco;45.0;1.5;0.0;3.1;-3.0;;;;;
Fromage blanc nature;MILKY FOOD PROFESSIONAL;Morocco;80.6;12.0;0.0;7.3;-2.0;;;;;
uht jaouda 1L;Jaouda;Democratic-republic-of-the-congo;58.0;3.0;0.0;3.0;-1.0;;;;;
Jben;Jaouda;Morocco;235.0;21.0;0.0;8.0;11.0;;;;;
Marmite Yeast Extract;Marmite,Unilever;France;260.0;0.5;1.2;34.0;23.0;;;;;
Lait Frais;centrale danone;Morocco;45.0;1.5;0.0;3.0;-3.0;;;;;
Cheddar;la Hollandaise;Morocco;270.0;21.0;6.0;9.0;18.0;;;;;
Assil;Danone;Morocco;95.5;2.7;9.0;3.4;3.0;;;;;
;Maruja;Algeria;539.0;33.0;50.0;7.2;31.0;;;;;
Cream cheese;Original;Morocco;257.0;18.0;0.0;10.0;-1.0;;;;;
Jamila رايبي;Danone;Morocco;72.0;1.7;9.0;1.9;12.0;;;;;
Geröstete Mandel Ohne Zucker;alpro;Albania;15.0;1.1;0.0;0.5;1.0;;;;;
Oat Drink Barista Edition;Oatly;France;61.0;3.0;3.4;1.1;7.0;;;;;
;Gervais;Morocco;137.0;7.0;7.2;7.0;7.0;;;;;
Skyr nature 0%;Yoplait;France;57.0;0.105;3.6;9.5;-2.0;;;;;
Hafer Milch;Alpro;Germany;40.0;1.5;0.0;0.2;4.0;;;;;
Jebli;Centrale, Danone, Jebli;France;225.0;19.0;0.0;6.5;13.0;;;;;
raibi jaoda;Jaouda;France;75.3;1.38;13.5;2.48;12.0;;;;;
NATURAL YOGURT;Milbona Lidl;United-kingdom;126.0;10.0;4.4;4.08;7.0;;;;;
Le bon lait;Albane;Morocco;46.0;1.5;0.0;3.0;-3.0;;;;;
Salim;;Morocco;58.0;3.0;4.8;3.0;;;;;;
Ghilal Yaourt zr3;Jaouda;Morocco;106.0;3.0;7.5;3.5;3.0;;;;;
Yeo Valley Organic kefir natural fermented yogurt;Yeo Valley Organic;France;64.0;2.1;5.4;4.7;6.0;;;;;
Croissance réduit en sucre;Jaouda;Morocco;64.0;2.6;0.8;2.5;;;;;;
Philadelphia;Mondelez International;Ireland;226.0;21.0;4.3;5.4;14.0;;;;;
Vanille au soja;alpro;Belgium;75.0;2.1;9.5;3.6;2.0;;;;;
5% Greek Yogurt;Fage;Greece;93.0;5.0;3.0;9.0;1.0;;;;;
Tranches Au Goût Cheddar;Ideal;Morocco;281.0;8.0;0.0;8.0;25.0;;;;;
bueno;Kinder;Australia;572.0;37.3;41.2;8.6;29.0;;;;;
Skyr | Natural Fat Free | 0% Fat;Arla;France;60.0;0.2;4.0;10.0;-3.0;;;;;
BUTTERY;FLORA;United-kingdom;677.0;75.0;0.5;0.5;19.0;;;;;
Greek Style Yogurt;Milbona, Pilos;Bulgaria;121.0;10.0;3.2;4.6;6.0;;;;;
;DANONE;France;234.0;20.0;5.5;8.0;14.0;;;;;
Mandelmilch mit Zucker;alpro;Germany;22.0;1.1;2.4;0.4;4.0;;;;;
;Snickers;Algeria;481.0;22.5;51.8;8.6;29.0;;;;;
BjORG AMANDE ALMOND SANS SUGRES- NO SUGAR;Bjorg;Belgium;25.0;1.7;0.5;0.7;2.0;;;;;
kefir drink original;Biotiful gut health;France;59.2;2.92;2.8;3.52;2.0;;;;;
Fermented Coconut Yoghurt Alternative;The Coconut Collab;Finland;120.0;10.0;1.6;1.2;4.0;;;;;
Oat;Alpro;Belgium;45.0;1.5;3.2;0.8;5.0;;;;;
Kiri carré 8p;Kiri;Morocco;230.0;20.0;2.0;9.0;18.0;;;;;
Fage Total 0% Yogurt;Fage;France;54.0;0.0;3.0;10.3;-4.0;;;;;
Organic Natural Yoghurt;Yeo Valley;United-kingdom;72.0;3.8;4.9;4.2;2.0;;;;;
Dark milk chocolate;Tesco;United-kingdom;597.0;44.6;33.6;9.9;24.0;;;;;
double zéro Cerise;Danone;Morocco;48.3;0.2;0.0;3.4;-1.0;;;;;
St Môret;St Môret;France;205.0;17.8;3.0;8.3;14.0;;;;;
Authentic Greek Yogurt;Brooklea;Ireland;132.0;10.0;3.1;5.9;5.0;;;;;
;COPAG;Morocco;163.6;6.7;8.5;6.4;6.0;;;;;
Danone (zéro sucre ajouté zéro matière grasse);Danone;Morocco;48.0;0.2;0.0;3.4;;;;;;
Activia Céréales;Danone;France;101.0;3.3;14.3;3.4;5.0;;;;;
Protein Cocoa Hazelnut Bars;Nakd;Belgium;421.0;21.7;25.2;16.1;;;;;;
Coulommiers Doux et Crémeux;CF&R,Cœur de Lion,Savencia;Algeria;283.0;23.0;0.1;18.0;13.0;;;;;
Semi-Skimmed 1.8% Fat Milk;Tesco;United-kingdom;50.0;1.8;4.8;3.6;0.0;;;;;
Mango ohne Zuckerzusatz;alpro;Austria;62.0;2.1;5.4;3.7;0.0;;;;;
Kefir;Biotiful;Ireland;58.0;3.0;3.7;3.3;2.0;;;;;
5% Greek Yoghurt;Fage;United-kingdom;93.0;5.0;3.0;9.0;1.0;;;;;
Velouté Fraise;Danone;Morocco;94.7;3.0;9.0;2.3;4.0;;;;;
Véritable Petit Écolier Chocolat au Lait;LU,Mondelez International;Algeria;498.0;23.0;39.0;6.2;30.0;;;;;
Mature Cheddar;Cathedral City;France;416.0;34.9;0.1;25.4;16.0;;;;;
Raibi jamila;central;Morocco;58.6;1.3;7.0;1.6;8.0;;;;;
Greek 0%;Aldi- emporium;Greece;57.0;0.0;3.5;10.4;-3.0;;;;;
La bûche Sainte-Maure (Poitou-Charentes;Soignon;France;291.0;23.0;1.0;20.0;13.0;;;;;
Cocoa Orange Fruit & Nut Bars;Nakd;United-kingdom;394.0;15.4;42.9;8.57;;;;;;
Organic oat drink;Oatly;Czech-republic;39.0;0.5;3.4;1.1;5.0;;;;;
BARISTA HAFER;Alpro;France;59.0;3.0;3.3;0.8;7.0;;;;;
Original Philadelphia;Philadelphia;Ireland;226.0;21.0;4.3;5.4;14.0;;;;;
b;gastro mixte;Morocco;225.0;21.0;4.3;5.4;14.0;;;;;
Lait uht 1/2 écrémé;C'est qui le patron;France;47.0;1.6;4.8;3.3;-1.0;;;;;
Skyr;Yoplait;France;57.0;0.5;3.6;9.5;-2.0;;;;;
Toblerone;Toblerone;Algeria;528.0;28.0;60.0;5.6;31.0;;;;;
Organic Milk Chocolate;Green & Black's;Ireland;561.0;36.0;46.0;9.8;31.0;;;;;
